                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92665,                0.96039,                 1.3508,                0.63362,                0.43879,                0.47224,                0.26185,                  1.814,                 1.9836,                  2.198,              0.0013947,              0.0013947,              0.0013947
                     36,                0.89516,                0.93774,                 1.3241,                0.48596,                0.48968,                0.49903,                0.26203,                 1.8285,                 2.2546,                 2.1297,              0.0013864,              0.0013864,              0.0013864
                     37,                0.93039,                0.96293,                 1.3659,                0.76696,                0.44968,                0.52345,                0.29423,                 1.7387,                 1.9408,                 2.0678,              0.0013782,              0.0013782,              0.0013782
                     38,                0.90049,                0.94961,                 1.3114,                0.57689,                0.46581,                0.48781,                0.22698,                 1.9861,                 2.1224,                 2.4057,              0.0013699,              0.0013699,              0.0013699
                     39,                0.87951,                0.92623,                 1.3335,                0.48268,                0.50408,                0.50703,                0.27272,                 1.6214,                 2.0787,                 1.9078,              0.0013617,              0.0013617,              0.0013617
                     40,                0.84095,                0.88872,                 1.2838,                0.62811,                0.48968,                0.54678,                0.26017,                 1.9012,                 1.8865,                 2.3279,              0.0013534,              0.0013534,              0.0013534
                     41,                0.86589,                0.90956,                 1.3125,                0.56998,                0.45355,                0.47095,                0.24953,                 1.6697,                 2.0971,                 1.9523,              0.0013452,              0.0013452,              0.0013452
                     42,                0.87592,                0.93414,                 1.3307,                0.48302,                0.50172,                0.43952,                0.20799,                 1.9685,                 2.1571,                 2.3336,              0.0013369,              0.0013369,              0.0013369
                     43,                0.85964,                0.94575,                 1.3281,                0.47922,                0.45131,                0.47973,                0.26398,                 1.7152,                 1.9071,                 2.0847,              0.0013287,              0.0013287,              0.0013287
                     44,                0.86101,                0.89494,                 1.2943,                0.36861,                0.66292,                0.43954,                0.22062,                 1.8542,                 2.3623,                 2.1459,              0.0013204,              0.0013204,              0.0013204
                     45,                0.86898,                0.87785,                 1.2896,                0.61212,                0.53032,                0.53766,                0.30657,                 1.7108,                 1.8982,                 2.0845,              0.0013122,              0.0013122,              0.0013122
                     46,                0.84344,                0.84452,                 1.2925,                0.41692,                0.60027,                0.47302,                0.26068,                 1.8121,                 1.9323,                 2.2341,              0.0013039,              0.0013039,              0.0013039
                     47,                0.85063,                0.85555,                 1.2985,                0.47578,                0.60968,                0.52706,                0.26162,                 1.6363,                 2.0289,                 2.0975,              0.0012957,              0.0012957,              0.0012957
                     48,                0.85548,                0.84358,                 1.3008,                0.51864,                0.49851,                0.49362,                0.28681,                 1.6061,                 1.6892,                 1.9947,              0.0012874,              0.0012874,              0.0012874
                     49,                0.85224,                0.83903,                 1.2945,                0.52124,                0.56194,                0.53324,                0.25694,                 1.7246,                 1.9629,                 2.0613,              0.0012792,              0.0012792,              0.0012792
                     50,                0.83134,                0.81981,                 1.2889,                0.59143,                0.56194,                0.49674,                0.26654,                  1.725,                 1.8973,                 2.0671,              0.0012709,              0.0012709,              0.0012709
                     51,                0.80861,                0.80904,                 1.2746,                0.40429,                0.58581,                 0.4232,                0.22739,                 1.8399,                 2.1695,                 2.2706,              0.0012627,              0.0012627,              0.0012627
                     52,                0.83592,                0.83968,                 1.2772,                0.38933,                0.56277,                 0.4642,                0.24926,                 1.7119,                 1.9423,                 2.0075,              0.0012544,              0.0012544,              0.0012544
                     53,                0.81325,                0.80618,                 1.2633,                0.79608,                0.49806,                0.58786,                0.30487,                 1.7035,                 1.7125,                 2.0511,              0.0012462,              0.0012462,              0.0012462
                     54,                 0.8271,                0.79405,                 1.2677,                0.59037,                0.41153,                0.47763,                0.23928,                 1.8617,                 2.0028,                 2.2002,              0.0012379,              0.0012379,              0.0012379
                     55,                0.81011,                0.83064,                 1.2725,                0.43296,                0.50685,                0.46348,                 0.2321,                 1.8578,                 2.0386,                 2.1922,              0.0012297,              0.0012297,              0.0012297
                     56,                0.81175,                0.80636,                 1.2654,                0.72418,                0.41229,                0.51636,                0.26253,                 1.8292,                 1.9225,                 2.1852,              0.0012214,              0.0012214,              0.0012214
                     57,                0.83442,                0.81514,                 1.2753,                0.43866,                0.51806,                0.44439,                 0.2412,                 1.6962,                 2.1792,                 2.0174,              0.0012132,              0.0012132,              0.0012132
                     58,                0.84064,                0.79664,                 1.2652,                0.57881,                0.45509,                0.51971,                0.30413,                 1.5704,                 1.7829,                 1.9727,              0.0012049,              0.0012049,              0.0012049
                     59,                0.80688,                0.77147,                  1.249,                0.43343,                0.47765,                 0.4244,                 0.2163,                  1.966,                 2.0508,                 2.3586,              0.0011967,              0.0011967,              0.0011967
                     60,                 0.8175,                0.80501,                 1.2544,                0.60487,                0.47032,                0.45859,                0.24633,                 1.9434,                 1.9644,                 2.2578,              0.0011884,              0.0011884,              0.0011884
                     61,                0.78056,                0.78706,                  1.226,                0.45497,                0.42783,                0.40921,                0.24337,                 1.7714,                 2.3652,                 2.1054,              0.0011802,              0.0011802,              0.0011802
                     62,                0.79033,                0.78953,                  1.243,                0.46791,                0.55792,                 0.4864,                0.25971,                 1.8691,                 1.8685,                  2.228,              0.0011719,              0.0011719,              0.0011719
                     63,                0.77581,                0.76203,                 1.2418,                0.40483,                0.47008,                0.42284,                0.21733,                 1.8007,                 2.2891,                 2.2117,              0.0011636,              0.0011636,              0.0011636
                     64,                0.78727,                0.76372,                 1.2579,                0.57479,                0.47581,                0.48407,                0.24759,                 1.8194,                 2.1065,                 2.2515,              0.0011554,              0.0011554,              0.0011554
                     65,                0.81807,                0.78281,                 1.2702,                  0.468,                0.44166,                0.46142,                0.25523,                 1.7925,                 2.1528,                 2.1234,              0.0011471,              0.0011471,              0.0011471
                     66,                 0.7702,                 0.7321,                 1.2189,                0.52791,                0.51566,                0.52196,                0.26938,                 1.7386,                 2.0366,                 2.0325,              0.0011389,              0.0011389,              0.0011389
                     67,                 0.8023,                0.76346,                 1.2726,                0.44603,                0.49394,                0.41496,                0.21326,                 1.7985,                 2.2778,                 2.1682,              0.0011306,              0.0011306,              0.0011306
                     68,                 0.7907,                0.76428,                 1.2461,                0.52864,                0.51582,                0.50627,                0.25458,                 1.8995,                 1.8273,                  2.287,              0.0011224,              0.0011224,              0.0011224
